# position_id	bag_size	CGP
quality-20260730-b1-p018	1	FATE3A6U/1BELLIED2FAQIR/7H2R3V/7E2OR1LA/4A2R1aWA1U1/4E1WE1P1D1ZO/4R1E2P1I2X/3VOMIcAE1I2E/4B1G2T4N/4ICH2E5/4AIM2N5/5TAY1T4J/6NUG5O/7KITENGES/7OO5S CNOSSTY/DILNORU 349/388 0 -lex CSW24
quality-20260730-b1-p019	1	OREXIS1V1C1ROJI/PED1THIO1H3E1/7E1A2SUM/7MAZOUT1E/7ALAY1E1T/5G3N2G1I/4BLAB4O1E/5AYU2F1D1R/5I1TINAmOUS/4OK4W1N2/4R4EN1TAV/4L4N1Q3/4O3FELID2/4N4W5/15 EIIPRT?/ACDEEGR 375/332 0 -lex CSW24
quality-20260730-b1-p020	1	3C10S/3HAW5TOGA/2GAPO7LI/2ANE8En/2PAR5E2EF/1J2T5M2KO/1A2U5B3I/1NITRIDE1CRAYON/1I2E5a4/1Z1O1BOI2V4/1A1MOISTURE4/1R1N6D4/1STILLED7/3F11/HEXYLENE7 DINRUUV/AEOQSTW 407/522 0 -lex CSW24
quality-20260730-b1-p021	1	1V13/1A10QI1/1C10IN1/1aLOWE7T1/1T1FORLeND3UM/YU7ZE2RE/AR6SOAPING/T2C2AIA5I/T2R2MOYA3EL/E2E1OU2R3UP/R2AVO3A3G1/S2K5N3H1/3STIBBLES2E1/9I3N1/5JAWED5 DDHINOX/EEEFGOT 427/396 0 -lex CSW24
quality-20260730-b1-p022	1	14A/9DOWLNE/3T10N/3R10E/UNKID8LI/3DOY2JOE1QI1/1F1ENAMOUr2IT1/GREN1YMPT4HA/1I1T9AB/1Z3WAIVES2TE/ReGALER3H2ER/1DOX2SAOUARIS1/2VEIN4G4/15/15 BCEFOOT/CEILPSU 411/353 0 -lex CSW24
quality-20260730-b1-p023	1	7IKON3A/1INGINES1FATWAH/5AFOOT2O1A/12R2/12L2/12D2/8MUX1E2/G6VAGUED2/OU4JAY6/OP5rAZER3/1CUTEY1I2DERN1/1H2NOVELISM3/1E5T7/1E3TRANQ5/CRIBLE1L7 BIPRTW?/DEEIISS 343/374 0 -lex CSW24
quality-20260730-b1-p024	1	15/1KRENGS8/3N11/3F11/3I8V2/1Q1E2LAWFARES1/1U1R1G6E2/1I1CORRAL3JIB/1N1E1U1WIlDCAT1/1Z2AB3OO1YAP/1ET1V4OX4/1sO1ID3TITTUP/2HADE3EE3E/2OU1Y3N4L/3A1SIGH5T ADINNOO/EEIMMRS 381/325 0 -lex CSW24
quality-20260730-b1-p025	1	15/5Q6BOH/2JA1I5FEW1/3ZOS4TELOI/2YOU5R4/1PE1T4GIRTH1/TEX1DA1SKIP4/ER1CORNUAL1D3/EN2IN1R1T1E3/4NA1F3O3/4G2YiELDeRS/11A2A/8BOITE1V/11E2I/7MAVIS2N EEIMOUW/AACDGLU 343/410 0 -lex CSW24
quality-20260730-b1-p026	1	FLAX3GrOVIEST/2M4R5H1/2B4AN2TATU/FIRK3MO2WEET/E1O4PUBCO1T1/L1I3VARA3LO/O1D2J2I5R/N1sQUIRRS5O/Y2U1G2H5I/1ZOA1G3WIT2D/3L1YENNED3E/3E10S/15/15/15 AEEINPS/ACDEEIN 331/470 0 -lex CSW24
quality-20260730-b1-p027	1	4PRELIFE1V2/3A5L2I2/3N1S3U2V2/3THIG2T2A2/3I1DICTIONS2/3M1E3N5/2OE1R2WARK3/2UR1OHIA2YONT/2ZE1A1OWE2XU1/1FE2D2ADD1OBI/1AL1Q10/1G2U1JOB6/ROMNEYAS7/1T2P10/15 CEENR??/AEEGIST 363/372 0 -lex CSW24
quality-20260730-b1-p028	1	7PREDRIED/7U1WE4/7T7/5JEZAILS3/8L6/5F2IF5/4OE2AY5/3CONGAS2M3/2V1PIU1ET1A3/2AWE1E1DO1R3/2GED4E1V3/3A1CONNATE3/1QIN2HAYS1R3/OI5O7/KNOUT1GILBERTs1 BHIMOUX/AILNST? 408/362 0 -lex CSW24
quality-20260730-b1-p029	1	2Q4B7/1AUTHORED6/2E4N2M4/WIRY3Z2ID3/2N4I2XU1L1/5GALA2C1I1/8ROOK1B1/7REIFY1iF/5VIEW4DA/7G4TOE/2PUNG1E2AJIS1/3REINSMEN1P2/7T4T2/5HAEN6/5ALDOLASE2 EIOORSU/ACETTV? 480/325 0 -lex CSW24
quality-20260730-b1-p030	1	EMOJI2pASSOVER/3U1KA4U3/2ST1EX4T3/2TELE5G3/2Y1IF5OB2/2L1V4C1IO2/2I1ADZ2A1nYM1/2N1BRADDING1ED/2G1LA3R3RE/3TEW3N3OW/3O4FIQH1PA/3U5E3IN/3C5R3AI/3H11/3E11 EEINORS/ALNOPTU 455/526 0 -lex CSW24
quality-20260730-b1-p031	1	W5KIF2C2V/HAJ2DONEGALS1I/AGONIES4A1NE/U10N1ER/P2ZED5G1U1/4WOO4b1R1/5BOTH2O1I1/6FIE1AXITE/8MAE2I1/7TEA3ST/7E3Q2A/7T3O2B/7R3R2L/7Y1DIMPLE/7L3A2D CNNUUV?/EIORSTY 333/463 0 -lex CSW24
quality-20260730-b1-p032	1	15/9JAMOKE/9UH3N/7QADI3F/9O2S1I/3q1G1N1g2T1L/3U1O1O1I2A1E/3I1AVOWS2N1D/3N1TON4ZA1/3I1YET2D1OX1/1GREW2I2R1E2/3L1SAMURAIS2/B1FARTHER1N4/EVE5BATTLE1/G14 CDEIPRU/CEEILPY 353/410 0 -lex CSW24
quality-20260730-b1-p033	1	3V1OAF3H3/1CRITH3E1E3/3G2NOUMENA2/3I5P1N3/2RAW4L1I3/4UG3O1N3/4DE3Y2V2/3ISOTOpE1FALX/2Q2D3D2U2/1JARPED5N2/1UT2S1B4T2/1M3I1E4I2/AB3COZEnAGE2/WO5I1YA1R2/K6L7 EIIRSST/AELNORT 344/445 0 -lex CSW24
quality-20260730-b1-p034	1	7V7/1U3FEEN6/ANOPIA1E7/1f1ATRIP7/1U1HAEN8/1R13/1L1E1CLAG6/ZEBU3TUTTI3/OD1G5AH4/O2EW4XI4/3NO3VOLAR2/3IO2YOLKY3/2SaNDBAR6/7J1DEFAT1/7ESOTERIC EGIMMSW/DEIINQR 322/420 0 -lex CSW24
quality-20260730-b1-p035	1	7L2THURL/GIG4I5A1/1NUN3P3V1N1/3EL1LA3I1D1/3FAVA4B1I1/6T4E1E1/SIGNETED3XIS1/5OWO4N2/6O5Q1H/5BO2JUKu1A/5ODA4I1Z/5R1F3ER1i/5T1AW2YE1E/6PREMIERES/7AY5T CCDINRS/AEMOOTU 446/395 0 -lex CSW24
quality-20260730-b1-p036	1	14A/14P/12T1E/11ROUX/4FORLEND1Z2/3FOU2SOARING/1SCOUTeD4N2/AHOY2MIBS1AG2/2E6E1L3/2D4A1R1I3/2I1PRESTING3/2TA3E1E1A3/2EL2QI1M1R3/2dE1WIT1A1T3/3C3Y2JAVEL DIKNNOW/BEHIOUV 513/398 0 -lex CSW24
quality-20260730-b1-p037	1	5YEW2AZONS/4AUREOLAE3/2VOX6R3/11D2B/5D3CHAT1R/4DE3YE1R1A/4EF1LOATHiNG/3FRATI1N2C1S/4IT2PO2KO1/4S3UG3W1/3PILOTMEN2EN/4V3In4G/2BREID1E5A/14T/14I IIJMNSU/AEELOQU 375/374 0 -lex CSW24
quality-20260730-b1-p038	1	15/15/2VIEWY1V6/4READORNS3/8W2E3/9KIr3/2Z5QI1F3/ERICA1TAIT1H3/2L1TRIG3O3/2L2ETAERIO1F1/3TABERD2D1O1/JUBE7SEEM/O1YATAGAN4H1/N3OXID5N1/G2PEENS7 CINOOUU/LLMPSU? 426/429 0 -lex CSW24
quality-20260730-b1-p039	1	MAWKY2T7/2O1O2E7/HIE1U2R4R2/UG5C4E2/NU5E3QIN1/1AT4LOR1I1e1/1NY5BIOS1R1/DIRLS2VIFF2V1/1DO1P1ZO5U1/1S2AXAL5L1/4N1GID4E1/4G2TO6/6JAM6/1HAO2ET7/DIAPENTE7 AEEIRSW/ABCEENT 406/361 0 -lex CSW24
quality-20260730-b1-p040	1	15/15/15/JERKY5MUGGA/4ELOCUTES2G/5U1A1AUE2I/2BAIZED6L/1MODDERS6E/OOH2R6XI1/1F3N3DIVI2/1E2ISoSPIN4/1T5O7/AT2CLARINET3/WE5R2FOHN1/A6Y3WEAN AOOQRT?/BELNPTV 322/476 0 -lex CSW24
quality-20260730-b1-p041	1	11C2J/11U1AE/10UR1LO/10PI1EN/9AHA1C1/9WO1OKA/10V1Y1L/6STOREYs1A/2BINGOES3T1E/1QI1AULA3DEF1/BIZES6IRE1/O1EX7FEW1/HM10D2/EA2SURLOIN4/ATIGI2ORT5 DDINPTT/EGMNNR? 457/382 0 -lex CSW24
quality-20260730-b1-p042	1	1Q1ANTIROLL4/1U5E5I1/1ABB3C4HM1/1GURu2HALIDOME/2RAN2A4PE1/2INN2R4EW1/V1E1E2G7/E1STRAWEN6/R3V2SUI5/L3eF9/I3DO9/GOAD1O1A7/1OPIATED7/1FESTY1Z7/7E7 CJNSTUY/IIKOOTX 387/500 0 -lex CSW24
quality-20260730-b1-p043	1	D6URINeMIa/IOTA5BEAUT1/SWAP5I5/K1GENERICS5/4I10/1QUINA3FY4/4J1ENGAOLS2/1V1ZAIDY2BOTEL/1OCH11/1WHOT10/2EMO10/2NOT10/2E12/2T2DURA6/2SAVORED6 EEFINPX/AEELLRR 464/410 0 -lex CSW24
quality-20260730-b1-p044	1	10GLOVE/9C1OM2/9YAWS2/3V5ATE3/3EA4NE2S1/3XI4I3P1/4Y1BOHS2QIN/4EUOI1ER2R1/3DE4DEG1T1/3U6T2L1/3R6O2EM/3I3JOTTER1U/3O1GNAW1A3D/3N5ILIACI/DUNSH1NIFF4R AABEORT/AEKLZ?? 346/371 0 -lex CSW24
quality-20260730-b1-p045	1	VrOU9P1/1E11R1/1TEGMINAL3JO1/1I10IF1/1F10R2/1O5PILLoRY1/1RETINAE4E2/1M3AWA3V3/3SOSATIE1OB2/9WAGE2/10HUNG1/K10ED2/I11E2/NUNCLE3HAIRY1/O4EXSCINDS2 DDOQRTU/AABEOTZ 468/407 0 -lex CSW24
quality-20260730-b1-p046	1	7PRESTORE/5VIA5I1/13B1/13B1/4DEEDInG2O1/1VAKIL7N1/2M4JA3ZEN/OpAQUE1OWO1MODE/1ANI1AUREOLA3/1XI6HIED2/2T9E2/FLAG8W2/R1S9I2/I8PONTS1/G9FYTTE CCHNTUY/AELNRSU 485/482 0 -lex CSW24
quality-20260730-b1-p047	1	FLAVIN9/3O9V1/3LI7JAP/3ANT5ZOL1/3ETA1bORDARS1/4EW3YAG1ER/C3R1EUGE4E/L2ANOESIS4M/A3OI7TE/R3D8OX/TUQUE8C1/I1UH9KI/n1I11M/G1N9TWP/1BOYF9I ADEHNRT/BDEEINS 421/400 0 -lex CSW24
quality-20260730-b1-p048	1	3ZIGAN6O/T1WO5QAT1AR/R1AA6MURLY/I1NE3FICIN1OX/SODAMIDE5N1/T1O1I8G1/A1O1H1EAU6/T2JIFfY2WHEAT/E2E1U1UNREELS1/3E1B7KO/3P1STEDINg3/3S11/15/15/15 BDELRRV/CEGLOPV 392/431 0 -lex CSW24
quality-20260730-b1-p049	1	7R7/4F2E6G/4A2W6I/H3Q2O6R/A3I2V6A/L1HURTLED5S/VAMP1OU7O/E2SONNIES1TOOL/8DONEE1E/1P7YAE3/1I1CAULDEST4/1N1R3O7/1KRAFT1Z7/1I1B3E1XI4/1E4ANTIDRUG1 ABGIJWY/CEIMNT? 324/441 0 -lex CSW24
quality-20260730-b1-p050	1	A8COWPOX/IS9O3/DI9WO2/ED9EA2/1E8MET2/1D8E1EH1/1L8T1NAB/Fy5NIQAB1UH/U9Y2NA/JILL5PEA2T/I5INVERITY1/SCARVES4NOOK/14U/9GEASON/6RIGOR3E GILRTZ?/ADEMRTU 373/350 0 -lex CSW24
quality-20260730-b2-p001	2	15/1M13/1UN12/1TE11K/TEF1EDGY2V3H/ID5UNPRAISE/m5Q3O3D/E2AECIA1TUT2A/L1TIME1IWIS4/IZAR1LINEN5/E1R1B2SNARF3/R1PLEX5R3/1JO1G6O3/HUN1O6W3/AD2T6Y3 AACGIOV/BELOOS? 331/290 0 -lex CSW24
quality-20260730-b2-p002	2	14D/9XU1T1I/8QINDARS/10C1R1A/10A1R1R/10N1OHM/10D1WO1/6LIMNIC1PO/5PITY1dA2U/4FIG4L3/4O5JO3/4U5ET2V/2fOLIATE1UT2A/BLAHER4NEONS/YOW1REBADGES2E AEEIKST/EEFGINZ 393/421 0 -lex CSW24
quality-20260730-b2-p003	2	9RIOTED/12R2/TAX8QI2/1AIA6GIS2/C2PUDENT1I1O2/HALOGEN3R1MM1/I4FONE1R1EEW/R5WARKS2nA/TA11TE/1U11H1/1D11O1/VIGA3J5L1/1B5EVINCES1/1L5E7/BENTY2P7 LNOSYZ?/AEFOOUU 461/367 0 -lex CSW24
quality-20260730-b2-p004	2	7J3Y2U/7A1E1O1ON/7MARIGOLD/7B1G1I1LO/7O1OH2A1/9NY2V1/5TRAT1K4/TOFF3WEXE4/2I3BEAUS2I1/2GLOVED5N1/6U6S1/5PRINCIPIA1/6R6n1/5QEEMA3E1/2DUDISH3CERT AEILNZ?/AERSTTW 337/456 0 -lex CSW24
quality-20260730-b2-p005	2	15/15/15/2WATERMAN1V3/4E5TE2Q/4R1V2JOG2U/2GUN1AB2ZOL1E/2UNI1XYSTI3R/2I1O2T2EW2I/2L1N2e2SIDED/2T4C3C2A/H1I4O3H2S/O1ER3D7/PERENTIE1ABODE1/E2N3SPLAY3 AGILMOR/AAFFKU? 385/480 0 -lex CSW24
quality-20260730-b2-p006	2	6ZA3P3/4BROWNIER3/2T3O1UNWOVE1/1PUNTSMEN2F3/2M7FIGGY/2BOTANIC2T3/2R4DOJO4/2I3VEX1EALED/2L5YO5/1K5p1H5/1R1ADENItIS4/OARIER1Q1A5/1A5U7/1L5E7/7T7 ACEHISU/AEEGILT 428/333 0 -lex CSW24
quality-20260730-b2-p007	2	15/15/15/11G3/10ALOE1/4MY3Q1A1V1/3HOAX1DI1N1O1/3MEDIAE2dIET/2N5F1RUT2/1JO2BENTY1L3/1OW1PAWA2ZEN2/2TROD1HOKAS3/1RIELS3U5/2E6DEFIS1/CERIA2GLUTENIN ABGIORU/CERSTV? 358/345 0 -lex CSW24
quality-20260730-b2-p008	2	15/13R1/11UPO1/11PIA1/9JIBED1/5V5E1I1/4QI2UNTAXeS/3GURNET2T2C/4AE3G4H/4R1V2O4W/UEY1T1O2DHOW1A/1DONZEL2L4G/2BOYFS1CILL3/5F3KAAMA1/3MISDONE1TENE AAEEIST/EIIRRR? 323/384 0 -lex CSW24
quality-20260730-b2-p009	2	7W7/1JAWLINE5V1/LOT4I4BE1/7G3TIGE/5COHOLDER1T/10OXO1E/4CUIF2T3S/GAMB2FANKS3I/3R3V6A/3O3O1ZE3N/3UNwARIER4/3g3I1PRYS2/1DUH3T7/3A3E7/DOLMAN1S7 AADIIQT/EENPRUY 342/430 0 -lex CSW24
quality-20260730-b2-p010	2	U6Q6S/N2D3A5FE/W1PRIVET5UR/A2A5LOG1GI/TAIGA6L2C/EX1W5JAI2I/R2AH3BoMBASt/EL1YEUKIER4E/DOR1T10/1OO1MUSLINED3/1NO1E10/HIT1N10/OE13/ES13/D14 EINORTT/ACFNOVY 396/485 0 -lex CSW24
quality-20260730-b2-p011	2	4L9U/3RAJA7P/2RECONNED4G/4T6C2I/4A6A2R/2mITSVAH2BAFT/4E2MELLOWY1/4D2UNI1V3/11E3/1B2GOURDIER3/1R1FOY5S3/NUtATES3Q4/OXO3TOWNIES2/MEN12/ED13 AEGHIIZ/AIKLOPT 390/514 0 -lex CSW24
quality-20260730-b2-p012	2	O1FEAGUE7/R2TAIRA7/L2I10I/OF1O4VLOG2M/PAULINS3Z3P/1V1I2A3O3E/2UNEARED1N2ON/3s2CLIMAX1OD/6e1TATIES1/6N1EWE2Y1/2HEY1E3D4/DRAC2T8/2WHIGS8/15/15 BJKNOQU/BEIRRST 429/294 0 -lex CSW24
quality-20260730-b2-p013	2	3BUN1N7/1TRITONES1m4/2E4E2O4/1FA1LANDWIND3/1AL4I2O4/1XI4E2L4/2A4S2I1YGO/3QUEST2THAIM/9CHOP2/9A5/4OCREATE4/JUKED4E5/U5GARROTER1/M8E5/P5GOWD5 EIILNSV/BFRVYZ? 468/378 0 -lex CSW24
quality-20260730-b2-p014	2	14W/13TO/12VAX/11D1W1/10YU1N1/1Q7JAMBED/1I3O2HIE1RYE/AS1GULPIER2U1E/T4E1DADA1HIM/R4O1ET1I2R1/A6N2O2O1/ZEAL3T2L2N1/I1ROOTKIT1I2I1/N1FUN1OF5E1/E5Ay5S1 ABELRS?/CCEGGNV 412/410 0 -lex CSW24
quality-20260730-b2-p015	2	7REORDAIN/7O7/2INEDITEd2P2/JEFE3A4U2/U6VACATE2/B4Q1AGHA1B2/ER3I1T4L2/SO1ZESTER1OHONE/1UG1Y8E1/1XU1R8W1/2IVY1DOLIChOS1/2LI9M1/2TA9E1/3N9N1/3D11 AAFGILN/IKMPRST 322/438 0 -lex CSW24
quality-20260730-b2-p016	2	7HEADwALL/8RYE3I/12F1D/7JUG1ZEPS/9I1AWE1/9BOP1R1/8C1V2R1/6CORTEX1OK/1V6Y1R2NO/1A8W2SI/1GOOF5A4/3MEASLIEsT1IN/2GADI4HONDA/11U1EN/7BLUNT1EA EIIORST/EEIMQTU 399/373 0 -lex CSW24
quality-20260730-b2-p017	2	6MUON1BEND/5SATRAPY1A1/5A7U1/4QI7TA/4I8IN/4SCOG2V2LO/6DEF1I2ID/7NOUNAL1E/6YEX1T4/3HIVE2ZA3R/6L2AGIO1E/6TO1PET2G/7R2S3I/7FEM4U/6REWAREWaS CHLORT?/BEEIKNO 341/403 0 -lex CSW24
quality-20260730-b2-p018	2	1Ok12/1UN12/1KI9V2/2T8HI2/2T7LOD2/2LIRE3FAX3/2E2WAZ1AM1G2/4V1BANCS1U1P/3BUOY2IT1I1R/4GUE2AE1L1O/2FEH5R1T1P/1JAW4MISCITE/QAT9E1N/1YEA8R1D/3LEONE5OS DEEINS?/AGINOOR 393/447 0 -lex CSW24
quality-20260730-b2-p019	2	2GYP1R8/1ZOUAVES4T2/WAX3CH3LA1E/I5UH2YAG1D/G5R3OW2I/E5R3L3F/O5E3KIBBI/N5DENTINE1E/10e2ID/3RAJA3S2N1/4RAINDATE1Q1/2NIMPS6U1/8OUTLIE1/13S1/13T1 EEFOOO?/ACELOTV 407/440 0 -lex CSW24
quality-20260730-b2-p020	2	3DAUNTEd5/9WILIS1/3TENANTED2L1/2AIA4L3O1/4ROQUETS2O1/5V4U2M1/4PEH3G4/3XERIC2OK3/2CURB1H3E3/5Y1A3E3/7I2AN3/APOD3R2JO3/REBELDOM2I4/EASY3E2V4/7N2A4 FIRTWZ?/FGGIINT 373/391 0 -lex CSW24
quality-20260730-b2-p021	2	L13V/AGISTED7O/A5INQUIRE1D/R2MOZ2A5U/I3BARITONE2N/3HEX1O1HOSTAS/7P7/6JAUK5/7n2L4/4BEFOAMED3/7I2N4/5rECENTLY2/RECIPES3O4/9GRIGRI/15 ALNOTWY/AEEFTUW 344/438 0 -lex CSW24
quality-20260730-b2-p022	2	15/6FEDEXING1/13E1/13L1/10WAGE1/1BUAZE3FOE1E1/O3ORgANON4/CUTTO2YAY4B/U5PUH5A/L4QI7N/I3VIRID5K/S6NAIVETES/T1OTARINE5I/SHOOLE8A/5CWM7 ADGJMS?/DEPRRRT 292/508 0 -lex CSW24
quality-20260730-b2-p023	2	11VIED/2LISTERIA1I1N1/9UPS1J1/9TAT1A1/9OKA1m1/9C3B1/8WAGERS1/7REDUX3/7E1EVOHE1/7L4EW1/4UNLAY1Q4/7TOPEE3/GRoSGRAIN1E4/I5IO2M1ODD/B5AN2ACHOO ILRTTUZ/EFFNNOY 471/317 0 -lex CSW24
quality-20260730-b2-p024	2	7CARNY3/9I5/6T2B5/6W2S5/4CRINATED3/6R2O1R3/4Q1L2N1O3/V2SUASIvE1PUJA/OB2E2L7/MAM1IF1LUXE4/1IO1NO1T2A4/1ZLOTE1H2V4/FET4SWEERiNG/IDE12/G1DAPHNE7 AAEIIKO/DGIORUY 332/369 0 -lex CSW24
quality-20260730-b2-p025	2	5ABY6G/1J3NAE5PO/KID3YOM4LO/1HOX2TWO1V2AD/RADIANS1N1I2N1/OD6T1G1BE1/Q7A1I1UR1/uT4CURTAILS1/Ea6I3L2/1P5NAW5/1H5I1I5/1O5F1T5/1L5F7/1E4GEEZ5/6URMAN4 EEEIRTU/CEEORSS 358/498 0 -lex CSW24
quality-20260730-b2-p026	2	7B7/7E7/6THEOCON2/3V3O7/2LAH2T7/1C1RELIEVEd3G/1I1D4E5O/FA1Y2QIN5U/IO6AB4R/N7LI4D/N8T3AY/E8MUREX1/R7JAP1DIG/SANTOUR1UPO2A1/3AFrEETS1WILI DIKMORW/AEENSST 356/332 0 -lex CSW24
quality-20260730-b2-p027	2	GREENLIT3CAUL/7O2LO3/2D3BOR1OOH2/2I3AMI1TEE2/2V1M1W1O1EEN2/2V1I3T3N2/2YEX3I1TAY2/3FILTHs1UN3/4N3E1IO3/4G2ASUNDER1/4s5AI3/11ZO2/11EW2/9JARTA1/5KAPPA5 DEIQRSS/CDFGRSU 351/445 0 -lex CSW24
